,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,eux,them
16,parlé,speak
17,arrivé,come
18,devrait,should
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,enfant,child
54,point,point
55,suite,after
56,pardon,sorry
57,vers,towards
58,demandé,request
59,chambre,bedroom
60,mis,placed
61,belle,beautiful
62,droit,law
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,compte,account
77,donne,given
78,loin,far
79,fin,end
80,croire,believe
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,aura,will have
85,filles,girls
86,jouer,to play
87,bureau,office
